#CUST NO.   XCOORD.   YCOORD.   READY TIME   DUE DATE  
    1       9.00       8.00           737.00      0.00
    2      25.00      40.00           244.00     297.00      
    3      15.00      31.00           610.00     653.00      
    4      45.00       9.00           413.00     467.00      
    5      24.00      40.00           227.00     271.00      
    6       8.00      23.00           162.00     204.00      
    7      15.00      37.00           527.00     544.00      
    8      15.00      17.00           122.00     178.00      
    9       5.00      12.00             0.00      69.00      
   10      15.00      18.00             0.00      68.00      
   11      15.00      22.00            28.00      55.00      
   12      43.00       2.00           415.00     470.00      
   13      49.00       7.00           375.00     478.00      
   14       4.00      33.00           470.00     529.00      
   15      11.00      10.00             0.00      55.00      
   16      45.00       3.00           377.00     433.00      
   17      24.00      19.00             1.00      96.00      
   18      18.00      40.00           179.00     263.00      
   19      17.00      17.00            16.00      60.00      
   20       2.00      26.00           153.00     221.00      
   21      49.00       4.00           391.00     440.00      
   22      17.00       7.00           129.00     160.00      
   23      35.00       7.00           375.00     384.00      
   24       6.00      44.00           512.00     533.00      
   25      43.00      27.00            41.00     144.00      
   26      25.00      16.00           338.00     373.00      
   27      33.00      20.00           333.00     355.00      
   28       7.00      44.00           516.00     592.00      
   29      43.00      48.00           268.00     346.00      
   30      43.00      36.00            84.00     140.00      
   31       4.00      19.00           161.00     230.00      
   32      46.00      18.00           107.00     151.00      
   33      40.00      49.00           235.00     338.00      
   34      41.00      27.00            36.00      87.00      
   35      29.00       7.00            95.00     160.00      
   36      49.00      41.00           531.00     599.00      
   37      33.00      17.00           107.00     159.00      
   38       5.00       1.00           459.00     502.00      
   39      23.00       6.00            94.00     194.00      
   40      33.00      49.00           259.00     341.00      
   41       7.00       3.00             0.00      17.00      
   42      12.00      17.00             0.00      69.00      
   43      40.00      20.00            70.00     125.00      
   44      48.00      11.00           399.00     445.00      
   45      22.00      42.00           181.00     285.00      
   46      20.00      21.00             0.00      73.00      
   47       4.00      42.00           502.00     566.00      
   48      20.00      41.00           224.00     251.00      
   49      26.00       4.00           115.00     160.00      
   50      32.00      37.00           226.00     271.00      
   51      47.00      12.00           612.00     699.00      
   52      23.00       5.00           117.00     165.00      
   53      34.00      48.00           276.00     335.00      
   54      19.00      42.00           183.00     247.00      
   55      33.00       7.00           354.00     409.00      
   56      16.00      27.00           175.00     254.00      
   57      31.00      12.00            98.00     141.00      
   58      23.00      42.00           241.00     279.00      
   59      35.00      39.00           300.00     362.00      
   60       3.00      26.00           124.00     222.00      
   61      33.00       1.00           350.00     397.00      
   62      17.00      36.00           198.00     267.00      
   63      42.00      32.00            40.00     107.00      
   64       5.00      13.00           182.00     228.00      
   65      31.00      22.00             8.00      67.00      
   66      45.00      30.00            34.00     125.00      
   67      23.00       6.00           307.00     366.00      
   68       6.00      18.00           123.00     168.00      
   69      40.00       1.00           346.00     442.00      
   70      26.00      40.00           248.00     255.00      
   71      24.00      43.00           229.00     305.00      
   72      14.00      19.00             0.00      59.00       
   73      28.00      10.00           306.00     389.00       
   74      22.00      39.00           211.00     284.00       
   75      22.00       7.00           105.00     159.00       
   76      48.00      13.00           406.00     462.00       
   77       4.00      24.00           171.00     203.00       
   78      32.00       2.00           411.00     503.00       
   79       4.00       2.00             0.00      32.00       
   80      33.00      26.00            61.00      76.00       
   81      34.00      28.00           630.00     693.00       
